date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming,feature_activity,feature_avg_valence,feature_var_valence,feature_office_app,feature_travel_app,feature_entertainment_app,feature_communication_app,feature_social_app,feature_day_week
2014-02-17,,,,,,6.0,,,,,,,,,,0
2014-02-18,,,,,,8.0,,,,,,,,,,1
2014-02-19,,,,,,15.0,,,,,,,,,,2
2014-02-20,,,,,,12.0,,,,,,,,,,3
2014-02-21,,,,,,23.0,,,,,,,,,,4
2014-02-22,,,,,,30.0,,,,,,,,,,5
2014-02-23,,,,,,33.0,,,,,,,,,,6
2014-02-24,,,,,,40.0,,,,,,,,,,0
2014-02-25,,,,,,49.0,,,,,,,,,,1
2014-02-26,,,,,,39.0,,,,,,,,,,2
2014-02-27,,,,,,47.0,,,,,,,,,,3
2014-02-28,,,,,,69.0,,,,,,,,,,4
2014-03-01,,,,,,72.0,,,,,,,,,,5
2014-03-02,,,,,,57.0,,,,,,,,,,6
2014-03-03,,,,,,60.0,,,,,,,,,,0
2014-03-04,,,,,,83.0,,,,,,,,,,1
2014-03-05,,,,,,70.0,,,,,,,,,,2
2014-03-06,,,,,,96.0,,,,,,,,,,3
2014-03-07,,,,,,102.0,,,,,,,,,,4
2014-03-08,,,,,,112.0,,,,,,,,,,5
2014-03-09,,,,,,98.0,,,,,,,,,,6
2014-03-10,,,,,,128.0,,,,,,,,,,0
2014-03-11,,,,,,136.0,,,,,,,,,,1
2014-03-12,,,,,,142.0,,,,,,,,,,2
2014-03-13,,,,,,144.0,,,,,,,,,,3
2014-03-14,,,1605.1650004386909,,,126.0,,,,,,,160.458,1025.031,28.631,4
2014-03-15,,,6893.658001422882,,,132.0,,,,,,125.69999999999999,506.60900000000004,3201.2610000000004,,5
2014-03-16,6.333333333333333,0.22222222222222224,11786.38500118256,0.0,0.6666666666666666,158.0,,,0.0,0.6666666666666666,,,506.60900000000004,6352.087,194.472,6
2014-03-17,6.5,0.9166666666666666,21924.99800252914,0.3333333333333333,1.2222222222222223,138.0,,1.17647890465228,0.16666666666666666,0.8055555555555558,,,2860.05,10270.255000000001,262.27000000000004,0
2014-03-18,7.2,1.36,26414.441004037853,0.4,0.8400000000000001,175.0,,6.385770793449448,0.4,0.64,,,2946.619,14066.295999999998,423.77200000000005,1
2014-03-19,7.0,1.4285714285714286,34577.0750041008,0.5,0.6785714285714286,179.0,,13.944266291198218,0.35714285714285715,0.6581632653061226,,596.3699999999999,3110.966,16661.332000000002,455.5120000000001,2
2014-03-20,7.0588235294117645,1.2318339100346019,38927.19200539589,0.4117647058823529,0.71280276816609,188.0,,19.155441607432994,0.47058823529411764,0.6020761245674742,,,3258.136,18805.608,579.02,3
2014-03-21,7.1,1.1900000000000002,50017.63700437546,0.25,0.7875,197.0,,25.856511805035574,0.5,0.55,,1003.3779999999999,3522.029,21613.972999999998,953.545,4
2014-03-22,6.956521739130435,1.1720226843100188,57600.340007305145,0.13043478260869565,0.8090737240075612,221.0,,35.86263555784241,0.30434782608695654,0.7334593572778827,,1688.156,4174.641,23421.285,1355.35,5
2014-03-23,6.846153846153846,1.1301775147928994,62112.949007987976,0.0,0.8461538461538461,228.0,,41.22880092073528,0.23076923076923078,0.7928994082840237,,2909.0989999999997,4562.722,24980.423,1527.25,6
2014-03-24,6.8,1.16,64868.2660074234,0.0,0.8666666666666667,209.0,,44.79245948743794,0.2,0.8266666666666669,,,5082.574999999999,27960.072999999997,1753.7800000000002,0
2014-03-25,6.878787878787879,1.1368227731864093,69490.0800075531,-0.12121212121212122,0.9550045913682277,215.0,,50.30812053732617,0.24242424242424243,0.7897153351698807,,,5539.141,30732.624,1893.714,1
2014-03-26,6.891891891891892,1.177501826150475,75541.94800853729,-0.24324324324324326,0.9948867786705623,219.0,,57.29633696839971,0.24324324324324326,0.8867786705624543,,,5987.79,33237.097,3445.531,2
2014-03-27,6.95,1.1475,81259.70900726318,-0.175,0.994375,221.0,,62.36393442146938,0.3,0.9099999999999999,,,6476.103999999999,36210.880999999994,3518.763,3
2014-03-28,6.931818181818182,1.1998966942148759,85217.46800637245,-0.20454545454545456,0.980888429752066,252.0,,68.2198805022413,0.3181818181818182,0.8987603305785122,,,7167.223,37451.958,6229.339,4
2014-03-29,6.957446808510638,1.232231779085559,89610.77500414848,-0.2127659574468085,0.9760072430964235,231.0,,77.71025613480188,0.3191489361702128,0.8981439565414214,,3346.706,8218.842,39586.96599999999,6706.503999999999,5
2014-03-30,6.94,1.2564,93537.32200288773,-0.24,1.0224000000000002,264.0,,82.9275103909093,0.34,0.8644000000000002,,,9364.507999999998,40634.979,6988.095999999999,6
2014-03-31,6.981481481481482,1.24039780521262,98297.7480020523,-0.25925925925925924,1.006858710562414,278.0,,86.59915974584379,0.35185185185185186,0.8576817558299039,,,9432.207999999999,43005.486,8996.051,0
2014-04-01,7.0,1.1724137931034482,101582.36999893188,-0.27586206896551724,0.9928656361474435,279.0,,92.81058226628026,0.3793103448275862,0.8216409036860879,,3639.2059999999997,9479.206999999999,44244.111999999994,9179.257999999998,1
2014-04-02,6.967741935483871,1.2570239334027058,108453.93100047112,-0.2903225806451613,0.980228928199792,255.0,,99.63896727489521,0.3548387096774194,0.8418314255983351,,,9776.588,47175.228,9488.439,2
2014-04-03,6.907692307692308,1.3453254437869822,115257.81000137329,-0.27692307692307694,0.9694674556213017,256.0,,106.77126429548002,0.3384615384615385,0.8392899408284025,,3891.485,10321.917,50733.015,9609.037,3
2014-04-04,6.869565217391305,1.4757403906742277,118900.91700220108,-0.3188405797101449,0.970804452846041,260.0,,112.06473590494254,0.3188405797101449,0.8548624238605335,,,11082.09,53532.189,9741.688,4
