,date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_apps_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming
0,2014-02-17,,,,,,,5.0,
1,2014-02-18,,,,,,,11.0,
2,2014-02-19,,,,,,,11.0,
3,2014-02-20,,,,,,,15.0,
4,2014-02-21,,,,,,,16.0,
5,2014-02-22,,,,,,,5.0,
6,2014-02-23,,,,,,,10.0,
7,2014-02-24,,,,,,,16.0,
8,2014-02-25,,,,,,,41.0,
9,2014-02-26,,,,,,,33.0,
10,2014-02-27,,,,,,,59.0,
11,2014-02-28,,,,,,,51.0,
12,2014-03-01,,,,,,,73.0,
13,2014-03-04,,,,,,,22.0,
14,2014-03-05,,,,,,,22.0,
15,2014-03-06,,,,,,,22.0,
16,2014-03-07,,,,,,,77.0,
17,2014-03-10,,,,,,,25.0,
18,2014-03-12,,,,,,,28.0,
19,2014-03-13,,,,,,,29.0,
20,2014-03-15,,,,,,,62.0,
21,2014-03-16,,,,,,,63.0,
22,2014-03-17,,,,,,,63.0,
23,2014-03-18,,,,,,,29.0,
24,2014-03-20,,,,,,,63.0,
25,2014-03-21,,,,,,,63.0,
26,2014-03-22,,,,,,,68.0,
27,2014-03-23,,,,,,,97.0,
28,2014-03-24,7.0,0.0,2508.2549996376047,43.495,-1.0,0.0,31.0,
29,2014-03-24,7.0,0.0,2508.2549996376047,32846.04,-1.0,0.0,31.0,
30,2014-03-24,7.0,0.0,2508.2549996376047,172396.15499999997,-1.0,0.0,31.0,
31,2014-03-24,7.0,0.0,2508.2549996376047,248778.06699999998,-1.0,0.0,31.0,
32,2014-03-24,7.0,0.0,2508.2549996376047,253539.97099999996,-1.0,0.0,31.0,
33,2014-03-25,6.8,0.5599999999999999,10225.769000291823,155.355,-0.4,0.6399999999999999,,
34,2014-03-25,6.8,0.5599999999999999,10225.769000291823,36764.642,-0.4,0.6399999999999999,,
35,2014-03-25,6.8,0.5599999999999999,10225.769000291823,175342.722,-0.4,0.6399999999999999,,
36,2014-03-25,6.8,0.5599999999999999,10225.769000291823,247724.53499999997,-0.4,0.6399999999999999,,
37,2014-03-25,6.8,0.5599999999999999,10225.769000291823,248874.072,-0.4,0.6399999999999999,,
38,2014-03-25,6.8,0.5599999999999999,10225.769000291823,254366.504,-0.4,0.6399999999999999,,
39,2014-03-26,7.25,0.9375,17130.563001394272,365.861,0.0,0.75,32.0,
40,2014-03-26,7.25,0.9375,17130.563001394272,39915.04,0.0,0.75,32.0,
41,2014-03-26,7.25,0.9375,17130.563001394272,177273.91,0.0,0.75,32.0,
42,2014-03-26,7.25,0.9375,17130.563001394272,247724.53499999997,0.0,0.75,32.0,
43,2014-03-26,7.25,0.9375,17130.563001394272,248924.01899999997,0.0,0.75,32.0,
44,2014-03-26,7.25,0.9375,17130.563001394272,257337.25199999998,0.0,0.75,32.0,
45,2014-03-26,7.25,0.9375,17130.563001394272,340648.076,0.0,0.75,32.0,
46,2014-03-27,7.181818181818182,0.8760330578512395,25291.396002054207,875.3839999999999,0.18181818181818182,0.694214876033058,32.0,
47,2014-03-27,7.181818181818182,0.8760330578512395,25291.396002054207,43957.871,0.18181818181818182,0.694214876033058,32.0,
48,2014-03-27,7.181818181818182,0.8760330578512395,25291.396002054207,179724.158,0.18181818181818182,0.694214876033058,32.0,
49,2014-03-27,7.181818181818182,0.8760330578512395,25291.396002054207,248970.59399999998,0.18181818181818182,0.694214876033058,32.0,
