date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming,feature_activity,feature_avg_valence,feature_var_valence,feature_office_app,feature_travel_app,feature_entertainment_app,feature_communication_app,feature_social_app,feature_day_week
2014-02-17,,,,,,3.0,,,,,,,,,,0
2014-02-18,,,,,,3.0,,,,,,,,,,1
2014-02-19,,,,,,3.0,,,,,,,,,,2
2014-02-22,,,,,,4.0,,,,,,,,,,5
2014-02-23,,,,,,4.0,,,,,,,,,,6
2014-02-24,,,,,,4.0,,,,,,,,,,0
2014-02-25,,,,,,9.0,,,,,,,,,,1
2014-02-26,,,,,,12.0,,,,,,,,,,2
2014-02-27,,,,,,13.0,,,,,,,,,,3
2014-02-28,,,,,,21.0,,,,,,,,,,4
2014-03-01,,,,,,6.0,,,,,,,,,,5
2014-03-02,,,,,,16.0,,,,,,,,,,6
2014-03-04,,,,,,16.0,,,,,,,,,,1
2014-03-05,,,,,,27.0,,,,,,,,,,2
2014-03-06,,,,,,21.0,,,,,,,,,,3
2014-03-07,,,,,,29.0,,,,,,,,,,4
2014-03-08,,,,,,11.0,,,,,,,,,,5
2014-03-09,,,,,,41.0,,,,,,,,,,6
2014-03-10,,,,,,29.0,,,,,,,,,,0
2014-03-12,,,,,,46.0,,,,,,,,,,2
2014-03-16,,,,,,33.0,,,,,,,,,,6
2014-03-17,,,,,,35.0,,,,,,,,,,0
2014-03-18,,,,,,37.0,,,,,,,,,,1
2014-03-19,,,,,,55.0,,,,,,,,,,2
2014-03-20,,,,,,42.0,,,,,,,,,,3
2014-03-21,7.0,0.0,3007.8339989185324,0.0,0.0,60.0,,,1.0,0.0,2.113,,1447.456,1221.0810000000004,,4
2014-03-22,7.333333333333333,0.22222222222222224,7685.888999462126,0.3333333333333333,0.22222222222222224,,,1.5083333333333329,1.0,0.0,10.38,193.317,6052.213,3888.882,122.56800000000001,5
2014-03-23,7.0,0.3333333333333333,14767.15899920464,0.6666666666666666,0.22222222222222224,16.0,,2.308333333333332,0.5,0.25,,379.728,41987.835,7059.407,122.56800000000001,6
2014-03-24,7.0,0.4444444444444444,20691.537999868393,0.6666666666666666,0.2222222222222222,,,4.208333333333331,0.4444444444444444,0.2469135802469136,12.426,592.7600000000001,43054.564999999995,10200.013,978.811,0
