date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming,feature_activity,feature_avg_valence,feature_var_valence,feature_office_app,feature_travel_app,feature_entertainment_app,feature_communication_app,feature_social_app,feature_day_week
2014-02-17,,,,,,2.0,,,,,,,,,,0
2014-02-18,,,,,,2.0,,,,,,,,,,1
2014-02-19,,,,,,10.0,,,,,,,,,,2
2014-02-20,,,,,,13.0,,,,,,,,,,3
2014-02-21,,,,,,4.0,,,,,,,,,,4
2014-02-22,,,,,,14.0,,,,,,,,,,5
2014-02-25,,,,,,12.0,,,,,,,,,,1
2014-02-26,6.25,0.1875,,-0.25,0.6875,17.0,,,0.75,0.1875,,,,,,2
2014-02-27,6.333333333333333,0.22222222222222224,,0.16666666666666666,0.8055555555555557,,,,0.6666666666666666,0.22222222222222224,,,,,,3
2014-02-28,,,,,,15.0,,,,,,,,,,4
2014-03-01,,,,,,5.0,,,,,,,,,,5
2014-03-03,,,,,,15.0,,,,,,,,,,0
2014-03-05,,,,,,15.0,,,,,,,,,,2
2014-03-06,,,,,,15.0,,,,,,,,,,3
2014-03-07,,,,,,19.0,,,,,,,,,,4
2014-03-10,,,,,,19.0,,,,,,,,,,0
2014-03-11,,,,,,21.0,,,,,,,,,,1
2014-03-12,,,,,,32.0,,,,,,,,,,2
2014-03-13,,,,,,30.0,,,,,,,,,,3
2014-03-14,,,,,,37.0,,,,,,,,,,4
2014-03-15,,,,,,5.0,,,,,,,,,,5
2014-03-16,,,,,,7.0,,,,,,,,,,6
2014-03-17,,,,,,7.0,,,,,,,,,,0
2014-03-18,,,,,,40.0,,,,,,,,,,1
2014-03-19,,,,,,32.0,,,,,,,,,,2
2014-03-20,,,2275.9440002441406,,,32.0,,0.1630952380952381,,,,,350.856,2168.229,807.731,3
2014-03-21,6.3,0.21000000000000002,20242.888000488274,0.3,0.6100000000000001,37.0,,3.237914296517843,0.5,0.25,172.20600000000002,915.4450000000002,1135.1860000000001,8345.717,5179.402000000001,4
2014-03-22,6.285714285714286,0.3469387755102042,26380.979000091545,0.35714285714285715,0.6581632653061226,47.0,,6.902997804357174,,,,915.4450000000002,1139.1960000000001,13239.177,5604.992,5
2014-03-23,6.388888888888889,0.45987654320987637,33153.061001539216,0.3888888888888889,0.5709876543209877,,,8.79411454143313,,,,,1229.5140000000001,18268.316,6464.52,6
2014-03-24,6.318181818181818,0.4896694214876035,48181.52800202368,0.45454545454545453,0.793388429752066,48.0,,10.689179888207478,,,172.20600000000002,1313.2800000000002,2193.4320000000002,27521.900999999998,9671.074,0
2014-03-25,6.4,0.5599999999999999,69638.10500097272,0.44,0.8064,8.0,,13.050158585579641,,,,,2243.572,37752.394,11549.375,1
2014-03-26,6.413793103448276,0.5184304399524376,85914.1560013294,0.41379310344827586,0.7942925089179546,,,15.456558305661465,,,,,3033.678,46712.07000000001,16102.927999999998,2
