date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming,feature_activity,feature_avg_valence,feature_var_valence,feature_office_app,feature_travel_app,feature_entertainment_app,feature_communication_app,feature_social_app,feature_day_week
2014-02-17,,,,,,1.0,,,,,,,,,,0
2014-02-18,,,,,,2.0,,,,,,,,,,1
2014-02-19,,,,,,1.0,,,,,,,,,,2
2014-02-21,,,,,,8.0,,,,,,,,,,4
2014-02-22,,,,,,13.0,,,,,,,,,,5
2014-02-23,,,,,,11.0,,,,,,,,,,6
2014-02-24,,,,,,7.0,,,,,,,,,,0
2014-02-28,,,,,,18.0,,,,,,,,,,4
2014-03-01,,,,,,20.0,,,,,,,,,,5
2014-03-07,,,,,,12.0,,,,,,,,,,4
2014-03-08,,,,,,12.0,,,,,,,,,,5
2014-03-10,,,,,,23.0,,,,,,,,,,0
2014-03-12,,,,,,18.0,,,,,,,,,,2
2014-03-13,,,,,,29.0,,,,,,,,,,3
2014-03-15,,,,,,18.0,,,,,,,,,,5
2014-03-16,,,,,,11.0,,,,,,,,,,6
2014-03-17,,,,,,18.0,,,,,,,,,,0
2014-03-19,,,,,,11.0,,,,,,,,,,2
2014-03-20,,,,,,19.0,,,,,,,,,,3
2014-03-22,7.0,0.0,6747.242002010347,0.0,0.0,11.0,,1.114082687338501,1.0,0.0,,,723.923,1871.42,662.43,5
2014-03-23,7.0,0.0,42788.270003318765,-0.16666666666666666,0.13888888888888892,19.0,,5.1406249686941425,1.0,0.0,,,1858.57,10034.06,27556.720999999998,6
2014-03-24,6.4,0.8399999999999999,54018.325004577615,-0.2,0.16000000000000006,,,10.84931655863573,0.4,0.8400000000000001,,39.085,2325.145,13710.280999999999,28785.185,0
2014-03-25,6.428571428571429,0.6734693877551022,75498.07200384139,-0.21428571428571427,0.16836734693877556,,,15.24858137920918,0.5714285714285714,0.6734693877551023,,136.117,15587.521000000002,19450.756999999998,,1
