,date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_apps_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming
0,2014-02-17,,,,,,,3.0,
1,2014-02-18,,,,,,,1.0,
2,2014-02-20,,,,,,,1.0,
3,2014-02-21,,,,,,,1.0,
4,2014-02-22,,,,,,,5.0,
5,2014-02-23,,,,,,,1.0,
6,2014-02-24,,,,,,,4.0,
7,2014-02-25,,,,,,,4.0,
8,2014-02-26,,,,,,,4.0,
9,2014-02-28,,,,,,,4.0,
10,2014-03-01,,,,,,,6.0,
11,2014-03-02,,,,,,,7.0,
12,2014-03-04,7.0,1.0,,,0.5,2.25,8.0,
13,2014-03-05,7.75,1.1875,,,0.75,1.6875,15.0,
14,2014-03-06,7.571428571428571,1.1020408163265305,,,0.7142857142857143,1.0612244897959184,8.0,
15,2014-03-07,7.5,1.25,,,0.7,1.0100000000000002,,
16,2014-03-08,7.571428571428571,0.9591836734693882,,,0.6428571428571429,0.8010204081632654,,
17,2014-03-09,7.5,0.8055555555555556,,,0.6666666666666666,0.6666666666666666,12.0,
18,2014-03-10,7.45,0.8474999999999999,,,0.65,0.6275000000000001,,
19,2014-03-11,7.25,0.9375,,,0.5416666666666666,0.5815972222222223,,
20,2014-03-12,7.107142857142857,0.9528061224489797,,,0.4642857142857143,0.5344387755102041,,
21,2014-03-13,7.161290322580645,0.9094693028095734,,,0.5161290322580645,0.5078043704474505,8.0,
22,2014-03-14,7.212121212121212,0.894398530762167,,,0.5454545454545454,0.49035812672176304,,
23,2014-03-15,,,,,,,8.0,
24,2014-03-16,,,,,,,12.0,
25,2014-03-17,,,,,,,8.0,
26,2014-03-18,,,,,,,21.0,
27,2014-03-19,,,,,,,22.0,
28,2014-03-20,,,1630.7279996871948,132.624,,,,
29,2014-03-20,,,1630.7279996871948,92671.511,,,,
30,2014-03-20,,,1630.7279996871948,206349.546,,,,
31,2014-03-20,,,1630.7279996871948,259962.78399999999,,,,
32,2014-03-20,,,1630.7279996871948,264707.999,,,,
33,2014-03-21,7.243243243243243,0.8327246165084004,6839.068999052043,19404.488999999998,0.5675675675675675,0.46165084002921847,,
34,2014-03-21,7.243243243243243,0.8327246165084004,6839.068999052043,99485.29500000001,0.5675675675675675,0.46165084002921847,,
35,2014-03-21,7.243243243243243,0.8327246165084004,6839.068999052043,207565.712,0.5675675675675675,0.46165084002921847,,
36,2014-03-21,7.243243243243243,0.8327246165084004,6839.068999052043,257821.23199999996,0.5675675675675675,0.46165084002921847,,
37,2014-03-21,7.243243243243243,0.8327246165084004,6839.068999052043,259994.903,0.5675675675675675,0.46165084002921847,,
38,2014-03-21,7.243243243243243,0.8327246165084004,6839.068999052043,266246.473,0.5675675675675675,0.46165084002921847,,
39,2014-03-22,7.2682926829268295,0.7816775728732896,12815.513999700539,21395.345999999998,0.5609756097560976,0.4414039262343843,,
40,2014-03-22,7.2682926829268295,0.7816775728732896,12815.513999700539,109458.176,0.5609756097560976,0.4414039262343843,,
41,2014-03-22,7.2682926829268295,0.7816775728732896,12815.513999700539,208452.2,0.5609756097560976,0.4414039262343843,,
42,2014-03-22,7.2682926829268295,0.7816775728732896,12815.513999700539,260126.396,0.5609756097560976,0.4414039262343843,,
43,2014-03-22,7.2682926829268295,0.7816775728732896,12815.513999700539,267578.19999999995,0.5609756097560976,0.4414039262343843,,
44,2014-03-22,7.2682926829268295,0.7816775728732896,12815.513999700539,315360.14999999997,0.5609756097560976,0.4414039262343843,,
45,2014-03-22,7.2682926829268295,0.7816775728732896,12815.513999700539,342214.28799999994,0.5609756097560976,0.4414039262343843,,
46,2014-03-23,7.266666666666667,0.7733333333333333,18286.58999919891,23794.225000000006,0.5777777777777777,0.42172839506172816,8.0,
