date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming,feature_activity,feature_avg_valence,feature_var_valence,feature_office_app,feature_travel_app,feature_entertainment_app,feature_communication_app,feature_social_app,feature_day_week
2014-02-17,,,,,,2.0,,,,,,,,,,0
2014-02-20,,,,,,7.0,,,,,,,,,,3
2014-02-21,,,,,,8.0,,,,,,,,,,4
2014-02-22,,,,,,8.0,,,,,,,,,,5
2014-02-24,,,,,,10.0,,,,,,,,,,0
2014-02-25,,,,,,13.0,,,,,,,,,,1
2014-02-26,,,,,,14.0,,,,,,,,,,2
2014-02-27,,,,,,16.0,,,,,,,,,,3
2014-02-28,,,,,,17.0,,,,,,,,,,4
2014-03-01,,,,,,21.0,,,,,,,,,,5
2014-03-02,,,,,,24.0,,,,,,,,,,6
2014-03-03,,,,,,25.0,,,,,,,,,,0
2014-03-04,,,,,,25.0,,,,,,,,,,1
2014-03-06,,,,,,28.0,,,,,,,,,,3
2014-03-07,,,,,,34.0,,,,,,,,,,4
2014-03-08,,,,,,5.0,,,,,,,,,,5
2014-03-09,,,,,,31.0,,,,,,,,,,6
2014-03-10,,,,,,39.0,,,,,,,,,,0
2014-03-11,,,,,,45.0,,,,,,,,,,1
2014-03-12,,,,,,46.0,,,,,,,,,,2
2014-03-13,8.0,0.0,206.30899977683998,-0.5,0.25,44.0,,,1.5,0.25,,,,184.405,,3
2014-03-14,7.833333333333333,0.1388888888888889,206.30899977683998,-0.16666666666666666,0.8055555555555558,52.0,,,,,,,,184.405,,4
2014-03-15,7.3,0.61,684.5169999599451,0.0,1.2,9.0,,,,,,,65.813,288.601,103.398,5
2014-03-16,7.142857142857143,0.5510204081632651,1010.5450000762934,-0.14285714285714285,1.5510204081632655,11.0,,,,,,,,378.49099999999993,,6
2014-03-17,7.111111111111111,0.5432098765432097,1718.259999752044,-0.16666666666666666,1.583333333333333,,,0.242857142857143,,,,,,808.0319999999999,103.398,0
2014-03-18,7.0,0.5454545454545454,2448.3660004138947,0.045454545454545456,1.4979338842975205,58.0,,1.0776699239017642,,,,,137.911,1220.1689999999999,,1
2014-03-19,6.923076923076923,0.5325443786982249,2455.184000492096,0.11538461538461539,1.4097633136094674,,,1.1110032572350976,,,,,137.911,,,2
2014-03-20,6.892857142857143,0.5242346938775508,2866.650000333786,0.10714285714285714,1.3813775510204083,62.0,,1.637061975666697,,,,,137.911,1316.5539999999999,143.797,3
2014-03-21,6.90625,0.4599609375,3128.0940003395076,0.28125,1.4521484375,49.0,,2.666588111340374,,,,,137.911,1439.7519999999997,159.10399999999998,4
2014-03-22,6.857142857142857,0.5224489795918367,3374.7620000839233,0.37142857142857144,1.4334693877551021,66.0,,3.2733886177610647,,,,,155.972,1591.0220000000002,159.10399999999998,5
2014-03-23,6.871794871794871,0.4707429322813936,4037.4080002307887,0.38461538461538464,1.3648915187376727,73.0,,3.752555284427731,,,,,283.799,1754.5479999999998,321.01399999999995,6
