date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming,feature_activity,feature_avg_valence,feature_var_valence,feature_office_app,feature_travel_app,feature_entertainment_app,feature_communication_app,feature_social_app,feature_day_week
2014-03-14,6.5,0.25,243.0460002422333,-0.25,0.6875,143.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,35.161,0.0,4
2014-03-15,6.428571428571429,0.5306122448979592,398.2830002307893,0.1428571428571428,0.6938775510204082,128.0,0.0,0.0,0.4285714285714285,0.5306122448979591,0.0,0.0,0.0,57.264,0.0,5
2014-03-16,6.166666666666667,0.4722222222222221,0.0,-0.25,1.1875,128.0,0.0,0.0,0.3333333333333333,0.3888888888888888,0.0,0.0,0.0,0.0,0.0,6
2014-03-17,6.1875,0.40234375,398.2830002307893,-0.25,0.9375,135.0,0.0,0.0,0.375,0.359375,0.0,0.0,0.0,0.0,0.0,0
2014-03-18,6.4,0.54,3566.9300000667586,-0.15,0.8275000000000002,141.0,0.0,1.306108597285068,0.55,0.4474999999999999,45.186,94.552,5.019,1807.818,0.0,1
2014-03-19,6.583333333333333,0.6597222222222222,0.0,0.0,0.8333333333333334,145.0,0.0,0.0,0.6666666666666666,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,2
2014-03-20,6.642857142857143,0.586734693877551,4752.550999879838,0.0714285714285714,0.8520408163265305,177.0,0.0,1.4251562163326872,0.7142857142857143,0.4183673469387754,0.0,0.0,0.0,2597.81,0.0,3
2014-03-21,6.71875,0.5771484375,5501.212999820709,0.0625,0.80859375,153.0,0.0,2.04817208934856,0.75,0.375,45.186,0.0,0.0,2785.0020000000004,0.0,4
2014-03-22,6.75,0.5208333333333334,5781.549000263214,0.0555555555555555,0.8302469135802468,0.0,0.0,2.3313007254183726,0.7777777777777778,0.3395061728395062,0.0,0.0,0.0,2798.1220000000003,0.0,5
2014-03-23,6.775,0.4743749999999999,6334.264000177383,0.1,0.8400000000000001,0.0,0.0,2.342170290635764,0.8,0.31,0.0,0.0,0.0,2798.1220000000003,0.0,6
2014-03-24,6.795454545454546,0.4354338842975206,6561.756000041962,0.1818181818181818,0.8305785123966946,0.0,0.0,2.342170290635764,0.8181818181818182,0.2851239669421488,45.186,0.0,0.0,2829.305,0.0,0
2014-03-25,6.8125,0.40234375,7996.569000244141,0.2291666666666666,0.8016493055555555,153.0,0.0,2.3594116699461085,0.8333333333333334,0.2638888888888889,0.0,0.0,0.0,3682.158,0.0,1
2014-03-26,6.846153846153846,0.3994082840236687,12908.316999673842,0.3269230769230769,0.8738905325443789,189.0,0.0,3.2344116699461094,0.8269230769230769,0.2585059171597633,0.0,94.552,0.0,7356.346,0.0,2
2014-03-27,6.857142857142857,0.3724489795918367,12908.316999673842,0.375,0.8415178571428571,170.0,0.0,3.2344116699461094,0.8392857142857143,0.2420280612244898,0.0,0.0,0.0,0.0,0.0,3
2014-03-28,6.883333333333334,0.3697222222222221,14427.49499964714,0.4166666666666667,0.8430555555555556,177.0,0.0,3.44472913026357,0.85,0.2275,0.0,0.0,0.0,8355.507000000001,0.0,4
2014-03-29,6.890625,0.347412109375,14548.262999296188,0.328125,0.970458984375,186.0,0.0,5.0161577016921415,0.859375,0.214599609375,45.186,0.0,0.0,8355.507000000001,49.613,5
2014-03-30,6.926470588235294,0.3622404844290657,15608.879999637602,0.2794117647058823,1.0248702422145328,190.0,0.0,5.785998971533411,0.8676470588235294,0.2030709342560553,0.0,0.0,0.0,8590.7,49.613,6
2014-03-31,6.944444444444445,0.3580246913580246,0.0,0.2916666666666667,0.984375,237.0,0.0,5.785998971533411,0.875,0.1927083333333333,0.0,0.0,0.0,0.0,0.0,0
2014-04-01,6.9605263157894735,0.3537049861495845,16084.816999673842,0.3026315789473684,0.947887811634349,240.0,0.0,6.873300558834997,0.881578947368421,0.1833448753462603,0.0,0.0,0.0,9321.479,0.0,1
2014-04-02,6.975,0.349375,17712.68799972534,0.325,0.9193750000000002,246.0,0.0,7.631237066771506,0.8875,0.17484375,45.186,0.0,0.0,10623.825,49.613,2
2014-04-03,6.988095238095238,0.3450963718820861,0.0,0.3452380952380952,0.892715419501134,208.0,0.0,7.631237066771506,0.8928571428571429,0.1670918367346938,0.0,0.0,0.0,0.0,0.0,3
2014-04-04,7.0,0.3409090909090909,18442.835000038147,0.3636363636363636,0.8677685950413224,209.0,0.0,9.265039497448935,0.8977272727272727,0.1599948347107438,0.0,0.0,0.0,10920.266,96.797,4
2014-04-05,7.043478260869565,0.3676748582230623,18456.02300024033,0.4130434782608695,0.8946124763705106,212.0,0.0,9.817671076396303,0.9021739130434784,0.1534735349716446,0.0,0.0,0.0,0.0,0.0,5
2014-04-06,7.010416666666667,0.3853081597222223,18768.2570002079,0.3958333333333333,0.8849826388888892,255.0,0.0,9.830828971133148,0.875,0.171875,0.0,0.0,0.0,11081.303000000002,0.0,6
2014-04-07,7.01,0.3699000000000001,19246.84400010109,0.4,0.8599999999999999,258.0,0.0,9.962407918501569,0.85,0.2075,0.0,0.0,0.0,11505.739,0.0,0
2014-04-08,7.009615384615385,0.3556767751479291,0.0,0.4038461538461538,0.8369082840236686,260.0,0.0,9.962407918501569,0.8557692307692307,0.2003513313609468,0.0,0.0,0.0,0.0,0.0,1
2014-04-09,7.0092592592592595,0.3425068587105624,0.0,0.3888888888888889,0.8302469135802469,222.0,0.0,9.988723707975254,0.8611111111111112,0.1936728395061729,0.0,0.0,0.0,0.0,0.0,2
