,Unnamed: 0,date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_apps_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming
17,17,2014-03-14,8.0,0.0,5622.509999036791,257.071,-1.0,0.0,21.0,0.0
18,18,2014-03-14,8.0,0.0,5622.509999036791,29052.44,-1.0,0.0,21.0,0.0
19,19,2014-03-14,8.0,0.0,5622.509999036791,215616.366,-1.0,0.0,21.0,0.0
20,20,2014-03-14,8.0,0.0,5622.509999036791,252558.65,-1.0,0.0,21.0,0.0
21,21,2014-03-14,8.0,0.0,5622.509999036791,261044.719,-1.0,0.0,21.0,0.0
22,22,2014-03-14,8.0,0.0,5622.509999036791,282565.98699999996,-1.0,0.0,21.0,0.0
23,23,2014-03-15,6.4,1.0399999999999998,14512.853999137882,983.315,-0.2,0.9600000000000002,23.0,0.0
24,24,2014-03-15,6.4,1.0399999999999998,14512.853999137882,35413.261,-0.2,0.9600000000000002,23.0,0.0
25,25,2014-03-15,6.4,1.0399999999999998,14512.853999137882,217666.146,-0.2,0.9600000000000002,23.0,0.0
26,26,2014-03-15,6.4,1.0399999999999998,14512.853999137882,252693.374,-0.2,0.9600000000000002,23.0,0.0
27,27,2014-03-15,6.4,1.0399999999999998,14512.853999137882,261044.719,-0.2,0.9600000000000002,23.0,0.0
28,28,2014-03-15,6.4,1.0399999999999998,14512.853999137882,279167.321,-0.2,0.9600000000000002,23.0,0.0
29,29,2014-03-15,6.4,1.0399999999999998,14512.853999137882,282605.29799999995,-0.2,0.9600000000000002,23.0,0.0
30,30,2014-03-16,6.428571428571429,0.8163265306122448,20059.356997966766,1369.476,-0.1428571428571428,0.979591836734694,25.0,0.0
31,31,2014-03-16,6.428571428571429,0.8163265306122448,20059.356997966766,39525.349,-0.1428571428571428,0.979591836734694,25.0,0.0
32,32,2014-03-16,6.428571428571429,0.8163265306122448,20059.356997966766,218444.934,-0.1428571428571428,0.979591836734694,25.0,0.0
33,33,2014-03-16,6.428571428571429,0.8163265306122448,20059.356997966766,252746.818,-0.1428571428571428,0.979591836734694,25.0,0.0
34,34,2014-03-16,6.428571428571429,0.8163265306122448,20059.356997966766,279170.372,-0.1428571428571428,0.979591836734694,25.0,0.0
35,35,2014-03-16,6.428571428571429,0.8163265306122448,20059.356997966766,282611.34099999996,-0.1428571428571428,0.979591836734694,25.0,0.0
36,36,2014-03-17,6.363636363636363,1.322314049586777,25662.193999290463,2191.4770000000003,-0.1818181818181818,1.421487603305785,2.0,0.0
37,37,2014-03-17,6.363636363636363,1.322314049586777,25662.193999290463,41287.725000000006,-0.1818181818181818,1.421487603305785,2.0,0.0
38,38,2014-03-17,6.363636363636363,1.322314049586777,25662.193999290463,219464.857,-0.1818181818181818,1.421487603305785,2.0,0.0
39,39,2014-03-17,6.363636363636363,1.322314049586777,25662.193999290463,252869.096,-0.1818181818181818,1.421487603305785,2.0,0.0
40,40,2014-03-17,6.363636363636363,1.322314049586777,25662.193999290463,279176.437,-0.1818181818181818,1.421487603305785,2.0,0.0
41,41,2014-03-17,6.363636363636363,1.322314049586777,25662.193999290463,282623.59599999996,-0.1818181818181818,1.421487603305785,2.0,0.0
42,42,2014-03-18,6.642857142857143,1.3724489795918369,32839.14199995996,2603.179,-0.0714285714285714,1.3520408163265305,33.0,0.0
43,43,2014-03-18,6.642857142857143,1.3724489795918369,32839.14199995996,45548.912,-0.0714285714285714,1.3520408163265305,33.0,0.0
44,44,2014-03-18,6.642857142857143,1.3724489795918369,32839.14199995996,220358.146,-0.0714285714285714,1.3520408163265305,33.0,0.0
45,45,2014-03-18,6.642857142857143,1.3724489795918369,32839.14199995996,252924.232,-0.0714285714285714,1.3520408163265305,33.0,0.0
46,46,2014-03-18,6.642857142857143,1.3724489795918369,32839.14199995996,279203.717,-0.0714285714285714,1.3520408163265305,33.0,0.0
