date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming,feature_activity,feature_avg_valence,feature_var_valence,feature_office_app,feature_travel_app,feature_entertainment_app,feature_communication_app,feature_social_app,feature_day_week
2014-03-16,6.333333333333333,0.2222222222222222,11786.38500118256,0.0,0.6666666666666666,158.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,506.609,6352.087,194.472,6
2014-03-17,6.5,0.9166666666666666,21924.99800252914,0.3333333333333333,1.2222222222222223,138.0,0.0,1.17647890465228,0.1666666666666666,0.8055555555555558,0.0,0.0,2860.05,10270.255,262.27000000000004,0
2014-03-18,7.2,1.36,26414.441004037853,0.4,0.8400000000000001,175.0,0.0,6.385770793449448,0.4,0.64,0.0,0.0,2946.619,14066.295999999998,423.7720000000001,1
2014-03-19,7.0,1.4285714285714286,34577.0750041008,0.5,0.6785714285714286,179.0,0.0,13.944266291198218,0.3571428571428571,0.6581632653061226,0.0,596.3699999999999,3110.966,16661.332000000002,455.5120000000001,2
2014-03-20,7.0588235294117645,1.231833910034602,38927.19200539589,0.4117647058823529,0.71280276816609,188.0,0.0,19.15544160743299,0.4705882352941176,0.6020761245674742,0.0,0.0,3258.136,18805.608,579.02,3
2014-03-21,7.1,1.1900000000000002,50017.63700437546,0.25,0.7875,197.0,0.0,25.856511805035577,0.5,0.55,0.0,1003.378,3522.029,21613.973,953.545,4
2014-03-22,6.956521739130435,1.1720226843100188,57600.340007305145,0.1304347826086956,0.8090737240075612,221.0,0.0,35.86263555784241,0.3043478260869565,0.7334593572778827,0.0,1688.156,4174.641,23421.285,1355.35,5
2014-03-23,6.846153846153846,1.1301775147928994,62112.949007987976,0.0,0.8461538461538461,228.0,0.0,41.22880092073528,0.2307692307692307,0.7928994082840237,0.0,2909.0989999999997,4562.722,24980.423,1527.25,6
2014-03-24,6.8,1.16,64868.2660074234,0.0,0.8666666666666667,209.0,0.0,44.79245948743794,0.2,0.8266666666666669,0.0,0.0,5082.574999999999,27960.072999999997,1753.7800000000002,0
2014-03-25,6.878787878787879,1.1368227731864091,69490.0800075531,-0.1212121212121212,0.9550045913682276,215.0,0.0,50.30812053732617,0.2424242424242424,0.7897153351698807,0.0,0.0,5539.141,30732.624,1893.714,1
