date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming,feature_activity,feature_avg_valence,feature_var_valence,feature_office_app,feature_travel_app,feature_entertainment_app,feature_communication_app,feature_social_app,feature_day_week
2014-03-20,7.0,0.6666666666666666,6640.643000364301,0.3333333333333333,0.888888888888889,35.0,0.0,0.164540816326531,1.0,0.6666666666666666,228.138,0.0,1930.061,2011.303,778.076,3
2014-03-21,7.571428571428571,0.8163265306122449,16443.319999694817,0.1428571428571428,0.979591836734694,48.0,0.0,3.3171828380474997,1.1428571428571428,0.4081632653061224,0.0,0.0,5668.264,4993.52,2405.1949999999997,4
2014-03-22,7.545454545454546,0.6115702479338844,30938.16799950599,-0.1818181818181818,1.2396694214876034,0.0,0.0,6.158252232165558,1.0909090909090908,0.2644628099173554,0.0,0.0,7602.742,13582.457,4210.598,5
2014-03-23,7.6,0.5066666666666666,46404.3529987335,-0.2666666666666666,1.262222222222222,0.0,0.0,7.8558727916923905,1.0666666666666669,0.1955555555555554,0.0,0.0,13255.614,18491.006,7268.851,6
2014-03-24,7.631578947368421,0.4432132963988918,62104.31999850272,-0.2105263157894736,1.2188365650969528,0.0,0.0,9.872905074961349,1.0526315789473684,0.1551246537396122,258.854,0.0,15838.971,24534.831,10800.76,0
2014-03-25,7.695652173913044,0.3856332703213612,77931.40899944305,-0.1739130434782608,1.1871455576559542,38.0,0.0,12.019253614377112,1.0434782608695652,0.1285444234404536,0.0,0.0,18529.773000000005,33646.777,12713.719999999996,1
2014-03-26,7.518518518518518,0.916323731138546,98223.746999979,-0.074074074074074,1.4019204389574758,52.0,0.0,15.03307255206783,0.9629629629629628,0.2578875171467764,271.92199999999997,0.0,20863.77300000001,41295.733,15746.141,2
2014-03-27,7.533333333333333,0.8488888888888888,116031.38000011444,-0.1333333333333333,1.448888888888889,53.0,0.0,17.407034575993922,0.9666666666666668,0.2322222222222222,271.92199999999997,0.0,24133.184,49869.516,19611.876,3
2014-03-28,7.588235294117647,0.889273356401384,133673.7200012207,-0.088235294117647,1.4922145328719725,54.0,0.0,21.608217336170497,0.9705882352941176,0.2638408304498269,271.92199999999997,26.598999999999997,26203.588,57515.674,21622.353,4
2014-03-29,7.684210526315789,0.9002770083102493,150640.0250017643,-0.2105263157894736,1.4819944598337946,55.0,0.0,23.352447460711115,0.9736842105263158,0.2361495844875345,271.92199999999997,0.0,31151.313,66446.79000000001,23331.999999999996,5
2014-03-30,7.666666666666667,0.8412698412698412,162335.79700279236,-0.3095238095238095,1.451814058956916,60.0,0.0,25.154848918453567,0.9761904761904762,0.213718820861678,271.92199999999997,239.25,34493.717000000004,71047.687,25481.656,6
2014-03-31,7.673913043478261,0.7849716446124764,175303.6570031643,-0.3478260869565217,1.3572778827977314,0.0,0.0,28.672641546768393,0.9782608695652174,0.195179584120983,0.0,285.297,35876.87300000001,80464.07400000001,26407.599,0
2014-04-01,7.68,0.7376000000000001,188156.35700249672,-0.42,1.3236,77.0,0.0,30.95636335127967,1.0,0.2,0.0,293.181,40889.869000000006,85013.008,27481.436,1
2014-04-02,7.666666666666667,0.7407407407407409,197200.70400094983,-0.4259259259259259,1.281550068587106,0.0,0.0,33.085040525749264,0.9629629629629628,0.2578875171467763,0.0,0.0,43343.38100000001,88803.842,28158.638,2
2014-04-03,7.706896551724138,0.724435196195006,211634.99500179288,-0.396551724137931,1.2737812128418549,65.0,0.0,34.98174614404583,0.9655172413793104,0.2401902497027348,300.20599999999996,293.181,48525.818,92474.525,31092.493,3
2014-04-04,7.709677419354839,0.6899063475546302,227243.3580019474,-0.4516129032258064,1.2476586888657644,67.0,0.0,37.262391161446864,0.967741935483871,0.2247658688865765,0.0,293.181,53259.9,97330.083,32530.95499999999,4
2014-04-05,7.727272727272728,0.6528925619834711,236576.54000091553,-0.4545454545454545,1.21763085399449,68.0,478.826,38.20808187424283,0.9696969696969696,0.2112029384756657,300.20599999999996,0.0,57242.652,99230.148,33356.131,5
2014-04-06,7.742857142857143,0.6195918367346938,246719.8780014515,-0.4857142857142857,1.164081632653061,0.0,2061.898,39.209501720977194,0.9714285714285714,0.1991836734693877,0.0,0.0,60777.162,101062.733,34373.167,6
2014-04-07,7.72972972972973,0.6026296566837107,262990.87800240517,-0.4459459459459459,1.16599707815924,0.0,2714.059,40.92767293046419,0.972972972972973,0.1884587289992695,0.0,424.72099999999995,63512.364,110065.692,35236.674,0
2014-04-08,7.743589743589744,0.6009204470742932,279029.1980009079,-0.4487179487179487,1.1704470742932276,0.0,3361.943,43.43357212543266,0.9743589743589745,0.1788297172912557,0.0,424.72099999999995,66555.284,117151.731,36591.102,1
2014-04-09,7.753086419753086,0.5810089925316264,297222.88199973106,-0.4320987654320987,1.1589696692577354,86.0,4934.991999999999,46.04826624945909,0.9753086419753086,0.172229843011736,300.20599999999996,0.0,70681.57,123025.397,37905.335,2
2014-04-10,7.776470588235294,0.5735640138408306,308600.11700057983,-0.4588235294117647,1.118892733564014,17.0,5909.075,48.18511812395802,0.976470588235294,0.1641522491349481,0.0,490.38999999999993,74281.68400000001,126688.603,39261.519,3
2014-04-11,7.758620689655173,0.5739199365834324,327952.58900022507,-0.4942528735632184,1.1465186946756507,73.0,8169.76,50.68003496363961,0.9655172413793104,0.1712247324613554,0.0,0.0,77114.718,136655.386,40973.751,4
2014-04-12,7.769230769230769,0.5731191885038038,339726.65400123596,-0.5054945054945055,1.1510687115082718,0.0,9991.33,51.2933764125405,0.978021978021978,0.1753411423741094,0.0,0.0,79973.65299999999,139880.747,42530.189999999995,5
2014-04-13,7.747368421052632,0.5677562326869806,349835.89100050926,-0.5473684210526316,1.1530193905817177,73.0,11659.492000000002,52.510047362185674,0.9789473684210528,0.16797783933518,300.20599999999996,0.0,83621.33499999999,141694.76,43993.761,6
2014-04-14,7.755102040816326,0.5726780508121615,361760.9830007553,-0.5612244897959183,1.1850270720533107,0.0,12070.872000000005,54.98901917538899,0.979591836734694,0.1628488129945856,0.0,0.0,86132.373,147581.235,45509.324,0
2014-04-15,7.745098039215686,0.562475970780469,377182.3589999676,-0.5882352941176471,1.1637831603229527,76.0,12214.551000000003,56.97767446922117,0.9803921568627452,0.1564782775855439,300.20599999999996,490.38999999999993,89093.669,154941.67200000002,47164.575,1
