,Unnamed: 0,date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_apps_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming
20,20,2014-03-13,8.0,0.0,206.30899977684,49.139,-0.5,0.25,44.0,0.0
21,21,2014-03-13,8.0,0.0,206.30899977684,8271.404999999999,-0.5,0.25,44.0,0.0
22,22,2014-03-14,7.833333333333333,0.1388888888888889,206.30899977684,54.75899999999999,-0.1666666666666666,0.8055555555555558,52.0,0.0
23,23,2014-03-14,7.833333333333333,0.1388888888888889,206.30899977684,8271.404999999999,-0.1666666666666666,0.8055555555555558,52.0,0.0
24,24,2014-03-14,7.833333333333333,0.1388888888888889,206.30899977684,30060.402,-0.1666666666666666,0.8055555555555558,52.0,0.0
25,25,2014-03-15,7.3,0.61,684.5169999599451,179.12699999999998,0.0,1.2,9.0,0.0
26,26,2014-03-15,7.3,0.61,684.5169999599451,8375.600999999999,0.0,1.2,9.0,0.0
27,27,2014-03-15,7.3,0.61,684.5169999599451,20693.91,0.0,1.2,9.0,0.0
28,28,2014-03-15,7.3,0.61,684.5169999599451,29793.43,0.0,1.2,9.0,0.0
29,29,2014-03-15,7.3,0.61,684.5169999599451,30060.402,0.0,1.2,9.0,0.0
30,30,2014-03-15,7.3,0.61,684.5169999599451,30254.083999999995,0.0,1.2,9.0,0.0
31,31,2014-03-16,7.142857142857143,0.5510204081632651,1010.5450000762934,356.633,-0.1428571428571428,1.5510204081632657,11.0,0.0
32,32,2014-03-16,7.142857142857143,0.5510204081632651,1010.5450000762934,8465.491000000002,-0.1428571428571428,1.5510204081632657,11.0,0.0
33,33,2014-03-16,7.142857142857143,0.5510204081632651,1010.5450000762934,29793.43,-0.1428571428571428,1.5510204081632657,11.0,0.0
34,34,2014-03-16,7.142857142857143,0.5510204081632651,1010.5450000762934,30089.532999999996,-0.1428571428571428,1.5510204081632657,11.0,0.0
35,35,2014-03-17,7.111111111111111,0.5432098765432097,1718.259999752044,403.055,-0.1666666666666666,1.583333333333333,0.0,0.0
36,36,2014-03-17,7.111111111111111,0.5432098765432097,1718.259999752044,8895.032,-0.1666666666666666,1.583333333333333,0.0,0.0
37,37,2014-03-17,7.111111111111111,0.5432098765432097,1718.259999752044,30089.532999999996,-0.1666666666666666,1.583333333333333,0.0,0.0
38,38,2014-03-17,7.111111111111111,0.5432098765432097,1718.259999752044,30254.083999999995,-0.1666666666666666,1.583333333333333,0.0,0.0
39,39,2014-03-18,7.0,0.5454545454545454,2448.3660004138947,589.4219999999999,0.0454545454545454,1.4979338842975205,58.0,0.0
40,40,2014-03-18,7.0,0.5454545454545454,2448.3660004138947,9307.169,0.0454545454545454,1.4979338842975205,58.0,0.0
41,41,2014-03-18,7.0,0.5454545454545454,2448.3660004138947,20766.008,0.0454545454545454,1.4979338842975205,58.0,0.0
42,42,2014-03-18,7.0,0.5454545454545454,2448.3660004138947,29793.43,0.0454545454545454,1.4979338842975205,58.0,0.0
43,43,2014-03-18,7.0,0.5454545454545454,2448.3660004138947,30089.532999999996,0.0454545454545454,1.4979338842975205,58.0,0.0
44,44,2014-03-19,6.923076923076923,0.5325443786982249,2455.184000492096,602.243,0.1153846153846153,1.4097633136094674,0.0,0.0
45,45,2014-03-19,6.923076923076923,0.5325443786982249,2455.184000492096,20766.008,0.1153846153846153,1.4097633136094674,0.0,0.0
46,46,2014-03-19,6.923076923076923,0.5325443786982249,2455.184000492096,30105.644999999997,0.1153846153846153,1.4097633136094674,0.0,0.0
47,47,2014-03-20,6.892857142857143,0.5242346938775508,2866.650000333786,918.4500000000002,0.1071428571428571,1.3813775510204085,62.0,0.0
48,48,2014-03-20,6.892857142857143,0.5242346938775508,2866.650000333786,9403.554,0.1071428571428571,1.3813775510204085,62.0,0.0
49,49,2014-03-20,6.892857142857143,0.5242346938775508,2866.650000333786,20766.008,0.1071428571428571,1.3813775510204085,62.0,0.0
50,50,2014-03-20,6.892857142857143,0.5242346938775508,2866.650000333786,30105.644999999997,0.1071428571428571,1.3813775510204085,62.0,0.0
51,51,2014-03-20,6.892857142857143,0.5242346938775508,2866.650000333786,30294.483,0.1071428571428571,1.3813775510204085,62.0,0.0
52,52,2014-03-21,6.90625,0.4599609375,3128.0940003395076,1018.13,0.28125,1.4521484375,49.0,0.0
53,53,2014-03-21,6.90625,0.4599609375,3128.0940003395076,9526.752,0.28125,1.4521484375,49.0,0.0
54,54,2014-03-21,6.90625,0.4599609375,3128.0940003395076,20766.008,0.28125,1.4521484375,49.0,0.0
55,55,2014-03-21,6.90625,0.4599609375,3128.0940003395076,30309.79,0.28125,1.4521484375,49.0,0.0
56,56,2014-03-22,6.857142857142857,0.5224489795918367,3374.7620000839233,1103.547,0.3714285714285714,1.433469387755102,66.0,0.0
57,57,2014-03-22,6.857142857142857,0.5224489795918367,3374.7620000839233,9678.022,0.3714285714285714,1.433469387755102,66.0,0.0
58,58,2014-03-22,6.857142857142857,0.5224489795918367,3374.7620000839233,20784.069,0.3714285714285714,1.433469387755102,66.0,0.0
59,59,2014-03-22,6.857142857142857,0.5224489795918367,3374.7620000839233,30105.644999999997,0.3714285714285714,1.433469387755102,66.0,0.0
60,60,2014-03-22,6.857142857142857,0.5224489795918367,3374.7620000839233,30309.79,0.3714285714285714,1.433469387755102,66.0,0.0
61,61,2014-03-23,6.871794871794871,0.4707429322813936,4037.4080002307887,1272.0699999999997,0.3846153846153846,1.364891518737673,73.0,0.0
